system size,filling range,absolute error (A),relative error (A),absolute error (B),relative error (B),conditioning
2,"[-1.0, 1.0]",5.551115123125783e-17,1.9154668592356207e-16,0.0,0.0,4.616784968111331
2,"[-1.0, 1.0]",1.1102230246251565e-16,1.5496365886254655e-16,2.220446049250313e-16,7.660383085836553e-16,1.648030175009321
2,"[-1.0, 1.0]",1.1102230246251565e-16,1.5232340075311753e-16,5.551115123125783e-17,1.5232340075311753e-16,5.0874465803351185
4,"[-1.0, 1.0]",4.440892098500626e-16,3.339654235151543e-15,1.1102230246251565e-16,2.253348051822884e-16,12.92369602198544
4,"[-1.0, 1.0]",8.326672684688674e-17,3.681060449790488e-16,2.220446049250313e-16,6.361577719641622e-16,4.741903125496723
4,"[-1.0, 1.0]",1.1102230246251565e-16,1.5588617665110972e-16,2.220446049250313e-16,1.2470894132088777e-15,12.053815864168971
8,"[-1.0, 1.0]",1.3322676295501878e-15,3.1567932652524035e-15,7.771561172376096e-16,3.3006849959993212e-15,57.96541986130512
8,"[-1.0, 1.0]",3.752553823233029e-14,3.239901149550471e-12,1.8762769116165146e-14,1.5992938661553739e-12,3371.3256977918472
8,"[-1.0, 1.0]",1.1102230246251565e-16,2.4893883783549295e-15,8.881784197001252e-16,2.987266054025915e-14,7.298558335891535
16,"[-1.0, 1.0]",1.5543122344752192e-15,2.1456958063187455e-14,5.329070518200751e-15,6.352197458251498e-14,111.23445450363698
16,"[-1.0, 1.0]",1.0880185641326534e-14,1.0608925611178242e-12,3.3304470292705446e-11,6.796339263727714e-08,61.29666072286203
16,"[-1.0, 1.0]",3.3306690738754696e-16,8.635875504293042e-16,2.7822188997106423e-12,7.548899842260401e-12,18.470317320618747
32,"[-1.0, 1.0]",2.886579864025407e-15,8.076958745076948e-15,31.514586654595767,64.92319783328517,93.71863304894178
32,"[-1.0, 1.0]",6.8833827526759706e-15,2.6821115834745184e-13,2.0383095211684576e-10,3.7015828392713025e-09,297.60225533415263
32,"[-1.0, 1.0]",6.661338147750939e-16,1.0132238723104587e-10,6.106226635438361e-16,2.8656435832904065e-10,52.791023543831116
64,"[-1.0, 1.0]",1.9984014443252818e-15,5.173241756516434e-13,0.3308842933253062,0.39823149382336326,112.9005789521018
64,"[-1.0, 1.0]",1.199040866595169e-14,1.1219724948779802e-13,1.0484919914020945,3.9792994711572582,44.69965735395653
64,"[-1.0, 1.0]",1.4210854715202004e-14,1.535471871651676e-13,5.919076118132693e-09,2.4049403876387918e-08,660.6137142130073
2,"[-10.0, 10.0]",1.7763568394002505e-15,2.056012056157747e-16,0.0,0.0,1.8305970126563527
2,"[-10.0, 10.0]",3.552713678800501e-15,6.055605283132512e-15,3.885780586188048e-15,6.6233182784261854e-15,10.567889237209542
2,"[-10.0, 10.0]",8.881784197001252e-16,3.032168482845824e-15,1.7763568394002505e-15,3.4111895432015523e-15,2.162929348913157
4,"[-10.0, 10.0]",1.7763568394002505e-15,9.593114214023554e-16,1.6653345369377348e-16,3.597417830258833e-16,3.176529996181609
